,Latitude,Temperature
sola,-3.17,67.29800000000003
strezhevoy,60.73,23.0
kazuno,40.2,44.74400000000007
zhigalovo,54.81,2.408000000000005
sambava,-14.27,75.23600000000008
bolshaya sosnova,57.67,15.872000000000035
rawson,-43.3,67.71200000000006
sayyan,15.17,58.22600000000009
souillac,45.6,50.63000000000004
moron,18.56,81.01400000000004
aitape,-3.15,84.14600000000004
miri,10.31,81.0680000000001
qaqortoq,60.72,24.8
mbalmayo,3.52,73.4
yongan,39.7,29.156000000000027
barrow,-38.31,79.19600000000005
belawan,-0.59,71.2760000000001
centralia,46.72,38.80400000000005
boysun,38.2,38.31800000000008
buzuluk,52.79,16.898000000000025
nioki,-2.72,74.066
coquimbo,-29.95,68.0
miramar,10.09,79.61000000000008
yinchuan,38.48,21.002000000000077
san cristobal,14.68,78.49400000000009
senno,57.76,19.4
sajanan,37.06,57.092
casablanca,33.6,61.57400000000001
san nicolas,13.93,78.90800000000002
kudahuvadhoo,2.67,84.00200000000008
sumbe,-11.2,75.47000000000006
torbay,47.66,40.280000000000044
maniitsoq,65.42,33.38600000000007
karratha,-20.74,83.53399999999999
kaoma,-14.8,69.44000000000003
hohhot,40.81,19.4
hami,42.84,19.18399999999999
phibun mangsahan,15.24,66.2
songea,-10.68,76.40600000000003
anadyr,64.73,-12.99999999999995
jijiga,9.35,62.83399999999999
ejura,7.38,85.62200000000004
belaya gora,68.54,-16.221999999999937
christchurch,-43.53,60.044000000000075
makaha,21.47,77.792
northam,-31.65,60.8
kruisfontein,-34.0,57.95600000000003
medina del campo,41.31,44.708000000000006
dumka,24.27,68.21600000000001
college,64.86,22.262000000000057
dikson,73.51,-6.969999999999963
ulladulla,-35.36,54.05
ivanivka,46.71,35.13200000000002
jaboticabal,-21.25,89.6
zaysan,47.47,0.4460000000000477
akbarpur,26.42,68.342
nelson bay,-32.72,65.39000000000001
gazimurskiy zavod,51.55,-10.839999999999968
chabahar,25.29,72.10400000000006
qasigiannguit,68.82,32.108000000000004
la salle,41.33,36.77000000000006
hwange,-18.35,79.01600000000002
narsaq,60.91,24.8
naples,40.84,62.34800000000003
clearlake,38.96,56.93000000000004
uglekamensk,43.22,40.31600000000001
eyl,7.98,81.57200000000003
salalah,17.01,80.6
aksu,52.04,5.0
urengoy,65.96,-12.405999999999977
cabo san lucas,22.89,76.76600000000002
trento,46.07,44.54600000000005
kapit,2.02,71.20400000000006
buckeye,33.37,65.60600000000002
bandarbeyla,9.49,81.51800000000009
xuddur,4.12,77.97200000000004
orlik,53.95,32.522000000000034
sovetskiy,56.76,14.828000000000063
camopi,3.17,87.80000000000001
la palma,5.36,78.53000000000004
kiama,-34.67,59.59400000000008
hamilton,43.26,41.45
riyadh,24.63,64.4
singkang,2.1,77.0
ahipara,-35.17,60.998000000000026
geraldton,49.72,30.2
grindavik,63.84,39.2
soc trang,9.6,77.0
salina cruz,16.18,82.45400000000006
agadir,30.42,66.2
dhidhdhoo,6.88,83.48000000000005
pekan,3.49,75.07400000000001
north platte,41.12,53.6
san patricio,-26.98,87.566
senanga,-16.1,73.07600000000009
aquiraz,-3.9,84.61400000000003
kuala lipis,4.19,71.67200000000004
fortuna,40.6,52.34000000000002
nsanje,-16.92,77.01800000000009
lebedinyy,58.52,-19.96599999999996
ormara,25.21,76.02800000000008
bubaque,11.28,83.58800000000005
vrangel,42.73,47.93000000000004
livingston,32.58,57.14600000000005
jabinyanah,35.03,66.2
najran,17.54,68.0
koslan,63.46,26.438000000000045
flin flon,54.77,33.8
labuhan,-2.54,72.87800000000007
rosario,-34.31,71.99600000000005
palana,59.08,15.656000000000027
aswan,24.09,68.25200000000008
champerico,16.38,84.2
cordoba,-27.78,84.65
salinopolis,-0.61,81.5
lichuan,30.3,52.66400000000003
buchanan,5.88,84.2
takoradi,4.89,82.34600000000006
pop,40.87,39.2
taltal,-25.41,65.78600000000007
bongandanga,1.51,71.85200000000009
kobryn,52.21,29.732000000000017
mackay,53.65,44.6
rudnya,50.8,20.048000000000023
huarmey,-10.07,77.95400000000006
celestun,20.87,78.53000000000004
yerbogachen,61.28,-8.247999999999976
bani,16.02,82.85
kirakira,-10.46,74.55200000000008
valdosta,30.83,76.17200000000004
kota kinabalu,5.98,73.4
te anau,-45.41,54.104000000000056
sohag,26.55,71.6
baykit,61.68,4.694000000000074
codrington,-28.95,64.86800000000008
rosarito,4.91,75.434
gobabis,-22.45,84.18200000000002
covington,35.56,45.23000000000004
maniwaki,46.38,35.11400000000003
alexandria,43.97,37.004000000000055
baghdad,33.3,53.6
egvekinot,66.32,-7.671999999999933
kargil,34.56,11.066000000000006
lekoni,-1.58,77.09000000000003
rognan,67.1,40.24400000000007
ikongo,-21.88,69.7100000000001
beloha,-25.17,70.41200000000006
gotsu,35.01,64.292
itarema,-2.92,90.15800000000002
gunjur,13.18,87.80000000000001
cheyenne,41.14,47.858000000000004
concarneau,47.88,47.912000000000056
tirlyanskiy,54.22,7.178000000000065
preobrazheniye,42.9,41.55800000000001
la sarre,48.8,31.748000000000026
stephenville,48.55,40.352000000000075
beringovskiy,63.05,7.033999999999992
beisfjord,68.38,34.19600000000005
alihe,50.57,-5.943999999999974
kaabong,3.51,62.79800000000003
nador,35.17,59.88200000000002
plyussa,58.42,24.47600000000009
puerto suarez,-18.96,93.14600000000004
san jeronimo,-13.65,57.2
natal,-5.81,85.11800000000008
harrison,39.26,38.858000000000004
svetlogorsk,53.14,21.2
hoi an,15.88,73.4
calama,-22.46,77.0
lucea,18.44,86.0
goroka,-6.07,55.05800000000001
masinloc,15.54,74.93000000000004
inirida,3.87,87.15200000000007
cayenne,4.94,89.6
bovolone,45.26,55.58000000000004
tazovskiy,67.47,-12.837999999999944
fairbanks,64.84,22.04600000000005
suoyarvi,62.08,23.27000000000006
mattru,7.62,81.57200000000003
dingle,11.0,75.16400000000004
nizhniye sergi,56.66,13.352000000000078
anloga,5.79,84.2
san francisco,1.17,68.0
akhmim,26.56,71.6
samoded,63.61,18.428000000000065
fuyang,32.89,60.944000000000074
waipawa,-39.94,53.99600000000005
totness,33.74,67.6760000000001
ballina,54.11,45.320000000000064
cobourg,43.96,39.77600000000009
pine bluff,34.23,45.37400000000001
awbari,26.59,70.12400000000002
segovia,40.95,47.3
saint-paul,45.22,47.66000000000008
comodoro rivadavia,-45.87,64.4
muswellbrook,-32.27,66.99199999999999
les cayes,18.19,80.09600000000006
kajaani,64.22,28.4
le havre,49.49,50.0
kidal,18.44,83.62400000000002
broome,52.47,48.434
imuris,30.78,66.99199999999999
dongfeng,42.67,26.383999999999993
suratgarh,29.32,67.40600000000003
great bend,38.36,39.452000000000076
camaqua,-30.85,70.30400000000006
titel,45.21,41.05400000000005
chicama,-7.84,69.80000000000001
sabang,13.8,73.34600000000006
boguchany,58.38,8.186000000000067
hofn,64.25,43.50200000000008
banjar,-7.37,73.41800000000009
fayaoue,-20.65,72.51800000000009
nizwa,22.93,65.49800000000002
rumoi,43.93,48.236000000000075
koygorodok,60.44,16.25
grand gaube,-20.01,78.89000000000001
sibolga,1.74,71.94200000000001
mount darwin,-16.77,74.04800000000003
rohru,31.2,41.86400000000003
viedma,-40.81,80.31200000000007
fagernes,60.99,32.07200000000004
coahuayana,18.62,84.56000000000009
altay,47.83,0.17600000000003746
wells,51.21,48.90200000000008
winnemucca,40.97,43.358000000000004
novikovo,51.15,21.32600000000009
namtsy,62.72,-18.39999999999995
shush,55.6,8.78000000000004
vite,42.89,51.026000000000096
lady frere,-31.7,59.91800000000009
petrolina de goias,-16.09,77.0
constantine,36.36,50.0
saint anthony,43.97,36.55400000000005
road town,18.42,80.6
bonnyville,54.27,46.4
udachnyy,66.42,-20.199999999999953
palmer,-34.85,50.900000000000006
deputatskiy,69.3,-23.277999999999963
ntcheu,-14.82,68.19800000000004
iqaluit,63.75,26.27600000000009
progreso,-34.68,68.61200000000005
tateyama,36.66,47.42600000000009
mirandopolis,-21.13,92.94800000000004
ileza,61.05,11.624000000000013
coihaique,-45.58,68.21600000000001
poum,41.28,39.2
katsuura,33.93,53.22200000000004
sheridan,39.65,45.91400000000003
cassilandia,-19.11,94.60400000000006
henties bay,-22.12,62.99600000000005
tarko-sale,64.92,-0.9939999999999714
sikonge,-5.63,68.0
charlestown,41.38,44.54600000000005
myitkyina,25.38,61.898000000000025
namibe,-15.19,70.89800000000002
muros,42.77,51.116000000000014
san policarpo,12.18,80.816
rassvet,49.11,22.37000000000006
carutapera,-1.2,81.734
